name,oid,ocode,code,region,status,fueltech,unit_id,unit_num,station_cap_registered,craeted_by
Jindabyne Small,CAS,au.nem.nsw.jndshps,JNDABNE1,NSW1,operating,hydro,,,1.1,
Condong,CA9,au.nem.nsw.condong1,CONDONG1,NSW1,operating,bioenergy_biomass,,,30.0,
Hallett 1,CAW,au.nem.sa.hallwf,HALLWF1,SA1,operating,wind,,,94.5,
Snowtown 1,CAX,au.nem.sa.snowtown,SNOWTWN1,SA1,operating,wind,,,99.0,
Portland,CAY,au.nem.vic.portwf,PORTWF,VIC1,operating,wind,,,164.0,
Broadwater,CCZ,au.nem.nsw.bwtr1,BWTR1,NSW1,operating,bioenergy_biomass,,,30.0,
Woodlawn Energy,CCA,au.nem.nsw.wdlngn,WDLNGN01,NSW1,operating,bioenergy_biogas,,,7.0,
Eraring,CCC,au.nem.nsw.ergt01,ERGT01,NSW1,operating,distillate,,,41.5,
Hunter Economic Zone,CC2,au.nem.nsw.hez,HEZ,NSW1,retired,distillate,,,,
Tallawarra,CCB,au.nem.nsw.tallawar,TALWA1,NSW1,operating,gas_ccgt,,,440.0,
Uranquinty,CC3,au.nem.nsw.uranq,URANQ11,NSW1,operating,gas_ocgt,,,664.0,
Uranquinty,CC3,au.nem.nsw.uranq,URANQ12,NSW1,operating,gas_ocgt,,,664.0,
Uranquinty,CC3,au.nem.nsw.uranq,URANQ13,NSW1,operating,gas_ocgt,,,664.0,
Uranquinty,CC3,au.nem.nsw.uranq,URANQ14,NSW1,operating,gas_ocgt,,,664.0,
Moranbah North,CCE,au.nem.qld.mbahnth,MBAHNTH,QLD1,operating,gas_wcmg,,,63.42,
South East Halllam,CCF,au.nem.vic.hlmsew01,HLMSEW01,VIC1,operating,hydro,,,0.25,
Veolia Ti Tree,CC4,au.nem.qld.titree,TITREE,QLD1,operating,bioenergy_biomass,,,2.0,
Shepparton Wastewater Treatment,CCG,au.nem.vic.shep1,SHEP1,VIC1,operating,bioenergy_biogas,,,1.1,
Ballarat Base Hospital,CCH,au.nem.vic.bbasehos,BBASEHOS,VIC1,operating,distillate,,,2.0,
Amcor Glass Gawler,CC5,au.nem.sa.amcorgr,AMCORGR,SA1,retired,distillate,,,,
Waubra,CCT,au.nem.vic.waubrawf,WAUBRAWF,VIC1,operating,wind,,,192.0,
Braemar 2,CCK,au.nem.qld.b2ps,BRAEMAR5,QLD1,operating,gas_wcmg,,,519.0,
Braemar 2,CCK,au.nem.qld.b2ps,BRAEMAR6,QLD1,operating,gas_wcmg,,,519.0,
Braemar 2,CCK,au.nem.qld.b2ps,BRAEMAR7,QLD1,operating,gas_wcmg,,,519.0,
Clements Gap,CC6,au.nem.sa.clemgpwf,CLEMGPWF,SA1,operating,wind,,,57.0,
Hallett 2,CC7,au.nem.sa.hallwf2,HALLWF2,SA1,operating,wind,,,71.4,
Colongra,CCP,au.nem.nsw.colongra,CG1,NSW1,operating,gas_ocgt,,,724.0,
Colongra,CCP,au.nem.nsw.colongra,CG2,NSW1,operating,gas_ocgt,,,724.0,
Colongra,CCP,au.nem.nsw.colongra,CG3,NSW1,operating,gas_ocgt,,,724.0,
Colongra,CCP,au.nem.nsw.colongra,CG4,NSW1,operating,gas_ocgt,,,724.0,
Cullerin Range,CC8,au.nem.nsw.cullerin,CULLRGWF,NSW1,operating,wind,,,30.0,
Condamine A,CCR,au.nem.qld.cpsa,CPSA,QLD1,operating,gas_wcmg,,,87.0,
